-1.107,-1.147,-0.338,-0.0,1.486,-1.107
-1.012,-1.153,-0.278,-0.0,1.432,-1.012
-0.927,-1.164,-0.206,-0.0,1.37,-0.927
-0.852,-1.181,-0.121,-0.0,1.302,-0.852
-0.785,-1.204,-0.025,-0.0,1.229,-0.785
-0.727,-1.234,0.084,-0.0,1.15,-0.727
-0.675,-1.272,0.206,-0.0,1.066,-0.675
-0.629,-1.32,0.346,-0.0,0.974,-0.629
-0.588,-1.381,0.508,-0.0,0.873,-0.588
-0.552,-1.459,0.702,-0.0,0.757,-0.552
-0.519,-1.569,0.959,-0.0,0.61,-0.519
-1.052,-1.143,-0.442,-0.0,1.586,-1.052
-0.951,-1.144,-0.379,-0.0,1.524,-0.951
-0.862,-1.15,-0.305,-0.0,1.455,-0.862
-0.785,-1.162,-0.219,-0.0,1.381,-0.785
-0.719,-1.181,-0.121,-0.0,1.302,-0.719
-0.661,-1.207,-0.012,-0.0,1.22,-0.661
-0.611,-1.242,0.109,-0.0,1.132,-0.611
-0.567,-1.285,0.246,-0.0,1.04,-0.567
-0.528,-1.34,0.401,-0.0,0.939,-0.528
-0.494,-1.41,0.582,-0.0,0.828,-0.494
-0.464,-1.503,0.808,-0.0,0.695,-0.464
-0.983,-1.15,-0.536,-0.0,1.687,-0.983
-0.876,-1.144,-0.471,-0.0,1.615,-0.876
-0.785,-1.144,-0.393,-0.0,1.537,-0.785
-0.709,-1.15,-0.305,-0.0,1.455,-0.709
-0.644,-1.164,-0.206,-0.0,1.37,-0.643
-0.588,-1.187,-0.096,-0.0,1.282,-0.588
-0.54,-1.217,0.026,-0.0,1.192,-0.54
-0.499,-1.258,0.161,-0.0,1.097,-0.499
-0.464,-1.308,0.312,-0.0,0.996,-0.464
-0.432,-1.372,0.486,-0.0,0.886,-0.432
-0.405,-1.455,0.694,-0.0,0.761,-0.405
-0.896,-1.168,-0.62,-0.0,1.788,-0.896
-0.785,-1.153,-0.551,-0.0,1.704,-0.785
-0.695,-1.144,-0.471,-0.0,1.615,-0.695
-0.62,-1.144,-0.379,-0.0,1.524,-0.62
-0.559,-1.153,-0.278,-0.0,1.432,-0.559
